xflr5 v6.47

C:/Users/miksw/Documents/XFLR5/NACA 0012.dat
Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 24.000       0.151     1.410    -0.025     0.005     1.000    0.0000  -14.4691
 Cpi          Cpv
-4.0586   -2.4679
-4.4720   -2.7701
-4.9515   -3.1125
-5.5174   -3.5076
-6.1940   -3.9708
-7.0115   -4.5208
-8.0183   -5.1867
-9.2756   -6.0046
-10.8706   -7.0237
-12.9177   -8.3040
-15.5505   -9.9040
-18.9025   -11.8931
-22.8782   -14.7909
-26.8453   -16.5311
-28.9270   -17.4536
-27.2012   -15.9675
-22.3006   -12.5862
-15.8912   -8.4852
-10.2683   -5.0466
-6.2728   -2.6913
-3.6448   -1.1994
-1.9638   -0.2848
-0.8867    0.2716
-0.1922    0.6068
 0.2586    0.8052
 0.5520    0.9176
 0.7419    0.9753
 0.8625    0.9979
 0.9361    0.9976
 0.9774    0.9825
 0.9963    0.9579
 0.9997    0.9273
 0.9923    0.8933
 0.9774    0.8572
 0.9575    0.8204
 0.9343    0.7835
 0.9090    0.7472
 0.8825    0.7116
 0.8556    0.6773
 0.8286    0.6440
 0.8020    0.6120
 0.7759    0.5813
 0.7505    0.5519
 0.7260    0.5238
 0.7024    0.4968
 0.6797    0.4709
 0.6579    0.4460
 0.6370    0.4220
 0.6171    0.3989
 0.5981    0.3766
 0.5798    0.3549
 0.5624    0.3339
 0.5458    0.3134
 0.5299    0.2932
 0.5148    0.2737
 0.5003    0.2543
 0.4866    0.2353
 0.4735    0.2164
 0.4612    0.1979
 0.4493    0.1793
 0.4384    0.1611
 0.4280    0.1427
 0.4185    0.1247
 0.4096    0.1065
 0.4016    0.0884
 0.3945    0.0704
 0.3882    0.0523
 0.3829    0.0342
 0.3788    0.0162
 0.3755   -0.0022
 0.3739   -0.0202
 0.3735   -0.0384
 0.3749   -0.0564
 0.3781   -0.0745
 0.3839   -0.0919
 0.3928   -0.1085
 0.4047   -0.1249
 0.4228   -0.1390
 0.4484   -0.1541
 0.4856   -0.1863
 0.5167   -0.2292


Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 22.500       0.074     1.763     0.018     0.005     1.000    0.0000  -18.1247
 Cpi          Cpv
-----------------
 0.5131   -0.1910
 0.4555   -0.1912
 0.3949   -0.1918
 0.3450   -0.1927
 0.3004   -0.1940
 0.2601   -0.1957
 0.2209   -0.1978
 0.1833   -0.2003
 0.1468   -0.2031
 0.1106   -0.2064
 0.0747   -0.2101
 0.0386   -0.2142
 0.0029   -0.2188
-0.0335   -0.2238
-0.0702   -0.2293
-0.1073   -0.2352
-0.1452   -0.2417
-0.1839   -0.2488
-0.2232   -0.2564
-0.2641   -0.2646
-0.3057   -0.2734
-0.3491   -0.2829
-0.3936   -0.2932
-0.4403   -0.3041
-0.4886   -0.3158
-0.5392   -0.3284
-0.5920   -0.3418
-0.6478   -0.3562
-0.7061   -0.3715
-0.7677   -0.3877
-0.8330   -0.4050
-0.9018   -0.4232
-0.9750   -0.4422
-1.0529   -0.4621
-1.1356   -0.4824
-1.2240   -0.5027
-1.3184   -0.5203
-1.4196   -0.5226
-1.5285   -0.5809
-1.6455   -0.6767
-1.7719   -0.7995
-1.9085   -0.9390
-2.0569   -1.0885
-2.2195   -1.2453
-2.3962   -1.4090
-2.5919   -1.5819
-2.8076   -1.7660
-3.0485   -1.9647
-3.3184   -2.1814
-3.6228   -2.4203
-3.9700   -2.6872
-4.3713   -2.9898
-4.8363   -3.3351
-5.3848   -3.7362
-6.0399   -4.2085
-6.8309   -4.7713
-7.8042   -5.4547
-9.0184   -6.2957
-10.5569   -7.3455
-12.5290   -8.6658
-15.0612   -10.3174
-18.2786   -12.3726
-22.0827   -15.3567
-25.8566   -17.1715
-27.7906   -18.1247
-26.0515   -16.5886
-21.2769   -13.0923
-15.0888   -8.8487
-9.6873   -5.2879
-5.8637   -2.8469
-3.3580   -1.2991
-1.7614   -0.3488
-0.7428    0.2306
-0.0894    0.5808
 0.3320    0.7892
 0.6040    0.9083
 0.7780    0.9707
 0.8866    0.9965
 0.9511    0.9986
 0.9854    0.9852
 0.9989    0.9619
 0.9980    0.9323
 0.9873    0.8990
 0.9698    0.8635
 0.9479    0.8273
 0.9231    0.7908
 0.8966    0.7549
 0.8691    0.7197
 0.8415    0.6857
 0.8140    0.6528
 0.7870    0.6212
 0.7607    0.5909
 0.7352    0.5619
 0.7106    0.5341
 0.6870    0.5075
 0.6644    0.4820
 0.6427    0.4576
 0.6220    0.4341
 0.6023    0.4115
 0.5835    0.3897
 0.5655    0.3686
 0.5483    0.3481
 0.5320    0.3282
 0.5163    0.3087
 0.5016    0.2898
 0.4874    0.2711
 0.4740    0.2528
 0.4611    0.2346
 0.4492    0.2169
 0.4377    0.1991
 0.4271    0.1816
