xflr5 v6.43

NACA 63A-609
Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 16.000       0.126     1.180    -0.070     0.004     1.000    0.0000  -10.2997
 Cpi          Cpv
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 12.000       0.040     1.384    -0.055     0.005     1.000    0.0000  -10.6526
 Cpi          Cpv
-----------------
 0.5942   -0.0960
-0.0280   -0.0961
 0.1297   -0.0970
 0.0825   -0.0983
 0.0680   -0.1001
 0.0392   -0.1023
-0.0081   -0.1048
-0.0788   -0.1075
-0.1738   -0.1101
-0.2442   -0.1118
-0.3351   -0.1081
-0.4852   -0.1201
-0.5763   -0.1607
-0.6500   -0.2248
-0.7400   -0.3116
-0.8346   -0.4150
-0.9343   -0.5277
-1.0389   -0.6442
-1.1492   -0.7616
-1.2643   -0.8782
-1.3810   -0.9918
-1.4929   -1.0992
-1.6126   -1.2068
-1.7282   -1.3101
-1.8683   -1.4256
-2.0330   -1.5556
-2.2272   -1.7041
-2.4637   -1.8793
-2.7626   -2.0928
-3.1224   -2.3469
-3.6035   -2.6730
-4.2174   -3.0832
-5.0515   -3.6308
-6.1966   -4.4150
-7.7352   -5.7314
-9.8664   -7.8064
-12.7493   -8.0244
-15.6223   -8.2566
-16.9470   -8.9476
-17.8217   -9.8345
-21.3072   -10.6526
-19.6741   -9.8733
-15.3989   -7.6823
-10.9778   -5.0975
-5.9754   -2.3553
-2.9990   -0.6708
-0.4773    0.5125
 0.4888    0.8986
 0.8585    0.9963
 0.9822    0.9846
 0.9979    0.9311
 0.9664    0.8643
 0.9151    0.7942
 0.8571    0.7280
 0.7985    0.6652
 0.7422    0.6080
 0.6895    0.5554
 0.6412    0.5076
 0.5957    0.4625
 0.5574    0.4248
 0.5248    0.3928
 0.4999    0.3684
 0.4816    0.3505
 0.4685    0.3373
 0.4597    0.3277
 0.4547    0.3212
 0.4532    0.3170
 0.4534    0.3135
 0.4549    0.3089
 0.4409    0.2876
 0.3998    0.2358
 0.3777    0.1956
 0.3600    0.1589
 0.3458    0.1241
 0.3382    0.0927
 0.3212    0.0486
 0.2958   -0.0096
 0.2627   -0.0817
 0.2510   -0.1280
 0.0689   -0.2287
 0.5942   -0.0960


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 11.000       0.030     1.382    -0.066     0.006     1.000    0.0000  -9.9418
 Cpi          Cpv
-----------------
 0.5901   -0.0526
-0.0363   -0.0524
 0.1237   -0.0535
 0.0773   -0.0549
 0.0640   -0.0568
 0.0361   -0.0591
-0.0101   -0.0617
-0.0794   -0.0637
-0.1728   -0.0634
-0.2414   -0.0625
-0.3300   -0.0843
-0.4771   -0.1327
-0.5649   -0.2049
-0.6350   -0.2925
-0.7209   -0.3926
-0.8107   -0.4980
-0.9049   -0.6050
-1.0033   -0.7118
-1.1064   -0.8183
-1.2132   -0.9240
-1.3206   -1.0269
-1.4221   -1.1230
-1.5298   -1.2195
-1.6320   -1.3106
-1.7561   -1.4141
-1.9014   -1.5310
-2.0721   -1.6646
-2.2795   -1.8226
-2.5413   -2.0159
-2.8542   -2.2439
-3.2725   -2.5381
-3.8030   -2.9059
-4.5213   -3.4032
-5.5023   -4.1625
-6.8103   -5.5329
-8.6100   -7.2831
-11.0225   -7.3758
-13.3696   -7.7003
-14.3514   -8.4452
-14.9602   -9.2125
-17.7975   -9.9418
-16.3103   -9.0947
-12.6006   -6.9640
-8.7901   -4.5160
-4.5607   -1.9640
-2.0622   -0.4220
-0.0578    0.6152
 0.6748    0.9339
 0.9323    0.9999
 0.9985    0.9726
 0.9842    0.9114
 0.9368    0.8413
 0.8773    0.7701
 0.8155    0.7042
 0.7556    0.6425
 0.6994    0.5868
 0.6478    0.5359
 0.6009    0.4901
 0.5572    0.4471
 0.5210    0.4116
 0.4906    0.3819
 0.4681    0.3599
 0.4522    0.3444
 0.4415    0.3335
 0.4349    0.3262
 0.4320    0.3218
 0.4324    0.3197
 0.4345    0.3182
 0.4376    0.3155
 0.4245    0.2965
 0.3836    0.2477
 0.3622    0.2104
 0.3453    0.1764
 0.3320    0.1446
 0.3254    0.1158
 0.3091    0.0749
 0.2842    0.0205
 0.2516   -0.0468
 0.2407   -0.0892
 0.0574   -0.1785
 0.5901   -0.0526


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 10.000       0.026     1.330    -0.073     0.007     1.000    0.0000  -8.3229
 Cpi          Cpv
-----------------
 0.5862   -0.0221
-0.0441   -0.0214
 0.1183   -0.0223
 0.0727   -0.0234
 0.0604   -0.0249
 0.0337   -0.0265
-0.0114   -0.0273
-0.0794   -0.0252
-0.1712   -0.0317
-0.2378   -0.0532
-0.3241   -0.0927
-0.4680   -0.1608
-0.5525   -0.2454
-0.6191   -0.3356
-0.7008   -0.4323
-0.7858   -0.5305
-0.8746   -0.6288
-0.9668   -0.7266
-1.0628   -0.8241
-1.1615   -0.9208
-1.2596   -1.0143
-1.3509   -1.1005
