xflr5 v6.43

NACA 63A-609
Reynolds =  500000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 25.000       0.373     1.118    -0.168     0.005     1.000    0.0000  -2.2328
 Cpi          Cpv
 0.4064   -0.1694
 0.3862   -0.2386
 0.3583   -0.3285
 0.3233   -0.4420
 0.3078   -0.5322
 0.1331   -0.7538
 0.6182   -0.4705


Reynolds =  500000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 16.000       0.193     0.972    -0.095     0.015     1.000    0.0000  -3.3552
 Cpi          Cpv
-----------------
 0.6130   -0.4280
 0.0113   -0.4286
 0.1583   -0.4297
 0.1084   -0.4313
 0.0899   -0.4334
 0.0571   -0.4360
 0.0056   -0.4393
-0.0697   -0.4433
-0.1704   -0.4481
-0.2480   -0.4538
-0.3475   -0.4606
-0.5090   -0.4685
-0.6127   -0.4778
-0.7003   -0.4887
-0.8068   -0.5015
-0.9203   -0.5162
-1.0418   -0.5333
-1.1717   -0.5530
-1.3110   -0.5758
-1.4597   -0.6022
-1.6148   -0.6327
-1.7700   -0.6681
-1.9399   -0.7090
-2.1122   -0.7565
-2.3207   -0.8116
-2.5680   -0.8756
-2.8636   -0.9508
-3.2268   -1.0400
-3.6887   -1.1479
-4.2559   -1.2816
-5.0181   -1.4540
-6.0084   -1.6881
-7.3705   -2.0410
-9.2712   -2.4814
-11.8842   -2.4967
-15.5764   -2.5032
-20.7027   -2.5093
-26.1343   -2.5516
-29.2030   -2.7303
-31.4633   -3.0569
-38.1529   -3.3552
-35.9313   -3.1235
-29.0608   -2.3078
-21.8226   -1.2537
-13.1686   -0.1342
-7.9539    0.5465
-2.8378    0.9273
-0.6675    0.9998
 0.2963    0.9721
 0.7363    0.9096
 0.9255    0.8397
 0.9920    0.7675
 0.9970    0.7003
 0.9707    0.6362
 0.9294    0.5773
 0.8814    0.5218
 0.8315    0.4702
 0.7823    0.4219
 0.7343    0.3748
 0.6910    0.3341
 0.6522    0.2982
 0.6200    0.2695
 0.5938    0.2468
 0.5728    0.2284
 0.5563    0.2132
 0.5440    0.2006
 0.5353    0.1902
 0.5291    0.1801
 0.5247    0.1683
 0.5072    0.1362
 0.4660    0.0668
 0.4413    0.0092
 0.4206   -0.0452
 0.4034   -0.0979
 0.3923   -0.1474
 0.3727   -0.2136
 0.3452   -0.2999
 0.3106   -0.4088
 0.2957   -0.4949
 0.1194   -0.7055
 0.6130   -0.4280


Reynolds =  500000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 15.000       0.168     0.987    -0.084     0.016     1.000    0.0000  -3.8879
 Cpi          Cpv
-----------------
 0.6080   -0.3802
 0.0006   -0.3808
 0.1504   -0.3820
 0.1011   -0.3837
 0.0836   -0.3859
 0.0517   -0.3887
 0.0013   -0.3922
